Episodes,Euclidian buffer = 100,Euclidian buffer = 50,Euclidian buffer = 25,Q-Value
15700,993.86,1387.66,768.84,1407.32
15800,986.9,1184.68,955.34,1339.26
15900,576.7,1556.58,1373.5,1304.2
16000,971.38,1182.62,1050.96,1504.6
16100,886.06,1221.52,960.1,1449.54
16200,744.38,1385.5,935.0,1151.36
16300,965.2,1318.32,1026.46,1426.76
16400,846.9,1070.48,846.46,1692.12
16500,886.68,1443.02,1087.38,1380.12
16600,873.5,1391.74,1108.78,1263.2
16700,951.1,1274.12,1247.86,1490.8
16800,597.08,995.7,1135.68,1408.64
16900,754.56,1550.38,1205.58,1443.48
17000,925.5,1128.44,907.48,1166.5
17100,885.3,1160.38,1024.8,1191.6
17200,986.5,1183.7,1190.24,1556.6
17300,873.38,1437.64,1002.78,1359.78
17400,875.66,1376.5,940.16,1195.58
17500,817.78,1512.92,961.92,1608.94
17600,973.62,1264.32,1040.84,1261.9
17700,1122.24,1071.46,1197.52,1170.52
17800,1017.04,1262.86,947.68,1147.5
17900,1004.66,962.64,1094.38,1336.1
18000,1004.84,1355.9,1051.46,1395.92
18100,1128.12,1030.96,928.58,1326.28
18200,1022.42,1210.82,1163.0,1239.52
18300,813.94,1372.96,1080.02,1375.48
18400,1051.16,1369.68,987.3,1225.46
18500,917.2,1235.06,922.06,1539.96
18600,1059.94,1370.92,1350.72,1483.54
18700,859.18,1273.26,1113.02,1444.8
18800,1217.6,1529.1,1087.66,1187.36
18900,1108.68,1213.3,715.84,1427.58
19000,858.12,1118.52,994.12,1513.98
19100,1029.78,1199.52,1129.22,1413.98
19200,1036.4,1401.48,1107.96,1596.26
19300,811.42,1171.62,1118.64,1292.7
19400,893.36,1364.86,1150.78,1141.9
19500,1057.9,1395.6,1097.62,1431.2
19600,1096.58,1157.36,1150.5,1570.98
19700,1123.92,963.5,1243.68,1305.42
19800,1018.96,1078.28,1005.44,1423.74
19900,1038.02,1122.32,1061.8,1394.66
20000,1060.34,1401.32,942.72,1344.12
