EXP_6,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,EXP_13,EXP_14,Q-Value
593.94,957.8,911.1,887.24,801.52,862.34,-537.26,710.56,690.42
717.04,1204.24,898.62,919.36,906.3,649.46,-536.82,866.0,785.04
664.54,1086.5,602.04,928.68,909.26,710.98,-528.86,995.58,783.56
783.56,866.24,791.96,1092.26,943.16,648.62,-535.36,768.3,1191.78
706.72,1091.42,743.92,1247.76,770.98,770.26,-534.46,837.68,1027.42
440.22,1083.7,823.72,1070.02,761.62,588.36,-533.88,734.26,914.98
706.0,1115.7,841.02,753.86,928.04,868.96,-533.88,708.94,1283.7
829.88,894.38,706.98,955.62,751.44,714.06,-530.72,817.0,1284.0
631.78,1035.28,1000.98,794.44,841.2,719.78,-537.26,596.86,1374.54
733.36,920.48,1098.92,1033.32,704.68,775.8,-533.34,872.32,1176.72
808.74,1202.64,1021.18,867.18,882.08,759.42,-537.68,785.32,1072.12
873.02,1208.52,845.7,933.62,748.72,722.78,-531.12,901.14,910.5
598.44,1335.74,786.44,973.12,702.68,1002.74,-532.84,591.6,1072.72
739.38,1066.38,868.22,985.96,722.46,854.38,-534.46,995.82,1006.26
431.28,991.22,506.48,817.0,701.12,799.26,-536.9,823.46,1176.04
638.82,1197.32,934.78,1034.08,709.52,752.42,-535.46,873.22,1123.56
555.48,1046.84,873.36,889.82,1062.2,541.18,-536.72,667.74,1113.9
704.44,1061.5,749.12,943.34,1014.08,835.62,-533.46,952.76,1207.98
689.72,1062.06,906.5,912.66,831.56,865.56,-533.54,839.74,1166.44
837.96,1215.62,864.68,970.42,817.84,718.98,-537.86,1038.44,1238.58
361.06,1115.36,646.0,949.94,843.58,933.0,-535.62,668.28,1089.4
708.48,879.58,873.3,830.96,1015.76,785.92,-537.34,849.3,1264.82
528.94,1038.52,665.28,891.5,1033.68,814.72,-537.68,953.5,1457.1
741.3,883.38,954.96,1125.62,888.5,961.7,-532.1,629.9,1176.32
763.12,1125.68,824.42,785.2,856.02,887.2,-535.72,766.08,1027.78
678.74,1338.0,886.92,1105.56,937.52,815.86,-533.28,754.44,1180.34
813.5,1031.76,925.38,1177.38,896.06,891.86,-536.22,879.6,1169.6
675.92,1117.48,834.22,866.74,857.6,878.54,-533.08,1059.72,1263.78
571.76,1205.24,826.52,1225.74,1008.66,770.76,-536.82,1025.68,1290.76
623.14,895.84,887.5,1203.2,925.44,865.48,-536.94,898.56,889.02
542.46,1226.88,867.48,981.3,731.88,515.1,-535.36,917.5,1219.08
535.96,1019.58,843.3,919.44,906.56,933.7,-537.12,679.36,1132.08
661.38,1236.58,795.42,1109.14,620.24,815.04,-533.96,935.86,1151.24
750.62,1303.6,750.9,677.06,744.76,854.96,-535.78,723.92,1221.94
726.74,1286.28,873.38,1038.4,906.66,735.98,-536.54,733.44,1220.8
571.56,1254.74,762.38,924.22,998.46,1045.66,-536.86,749.38,1254.94
905.38,1413.04,758.58,967.1,877.18,896.14,-536.72,837.94,1343.08
651.46,810.66,1009.3,1010.34,904.36,841.64,-531.62,826.3,1315.24
652.28,1040.78,1021.12,877.58,1137.6,878.26,-534.2,824.84,1319.1
903.36,960.9,660.18,815.14,1035.86,921.5,-533.52,773.0,1345.06
896.42,1129.52,877.66,1073.76,962.66,1271.86,-531.26,864.8,1514.44
776.22,1251.9,609.7,1127.68,891.48,907.88,-538.06,640.38,1269.02
1110.38,1027.5,812.48,1115.88,810.38,780.96,-536.62,1051.52,1168.28
953.22,1205.48,799.44,1118.2,728.78,891.56,-532.12,902.22,1255.94
907.82,1213.44,871.7,1121.7,929.62,826.58,-533.9,960.34,1353.14
696.0,1143.3,643.82,944.64,753.78,762.3,-530.78,839.34,1312.56
704.86,1197.06,669.36,1243.26,919.4,1063.34,-535.24,835.2,1213.66
964.86,1166.72,578.9,1166.14,695.7,914.34,-533.16,881.76,1114.56
668.28,1215.18,816.62,1315.06,813.1,923.18,-530.86,786.54,1148.38
730.04,1321.74,915.54,981.22,848.72,955.96,-533.44,772.96,1101.52
911.16,1167.28,1021.1,1072.9,967.58,977.92,-535.42,876.92,1148.3
683.24,1146.9,696.04,1272.14,1009.38,797.1,-530.88,985.02,1093.46
